trip_id,vehicle_type,fuel_type,road_type,time_of_day,weather,distance_km,avg_speed_kmph,traffic_level,ac_used,load_kg,engine_cc,tyre_pressure_ok,last_service_days,fuel_price_per_litre,driver_hours_today,idle_time_minutes,harsh_braking_count,rpm_avg,fuel_consumed_litres,trip_cost_inr,carbon_emission_kg,eco_score,trip_grade,fatigue_risk,ev_cost_per_trip,anomaly_flag
28,Bike,Petrol,Highway,Night,Clear,58.76,33.22,4,1,108.7,2000,1,99,97.54,5.0,41.6,5,3949,0.879,85.74,2.03,47.5,D,67.3,70.51,0
29,Bike,Petrol,City,Morning,Clear,14.7,68.9,3,0,536.72,100,0,213,89.26,5.6,42.1,10,2966,0.1,8.93,0.231,34.6,F,51.7,17.64,0
30,Car,Diesel,Mixed,Evening,Hot,55.04,93.85,5,1,509.41,2500,1,132,96.68,9.1,21.6,5,3023,18.964,1833.44,50.824,40.3,D,77.1,66.05,0
31,Bike,Petrol,City,Night,Hot,99.36,79.8,2,1,459.1,2500,0,341,95.58,4.2,28.8,4,1975,2.06,196.89,4.759,43.8,D,57.7,119.23,0
32,Car,Diesel,City,Night,Fog,56.95,56.17,3,1,485.11,2500,1,144,112.58,1.7,18.8,9,1867,19.113,2151.74,51.223,46.7,D,52.1,68.34,0
33,Car,Petrol,Mixed,Morning,Clear,1.19,15.41,2,1,575.75,800,0,84,113.51,7.0,41.7,3,2693,1.177,133.6,2.719,45.7,D,53.4,1.43,0
34,SUV,Petrol,City,Afternoon,Clear,93.37,39.7,3,0,191.89,800,1,109,106.77,7.6,37.6,14,2515,30.0,3203.1,69.3,46.9,D,83.0,112.04,0
35,SUV,Diesel,Mixed,Night,Rain,24.25,15.52,4,1,587.92,1000,0,214,95.64,11.3,23.1,1,2426,8.016,766.65,21.483,44.0,D,100.0,29.1,0
36,Auto,Petrol,Highway,Night,Clear,69.16,35.08,5,1,534.31,1500,0,191,88.19,2.0,20.1,0,1561,5.91,521.2,13.652,42.4,D,33.7,82.99,0
37,Car,Petrol,City,Morning,Rain,51.99,30.51,3,1,217.14,100,1,155,106.1,6.6,30.9,13,2857,17.468,1853.35,40.351,39.9,F,77.1,62.39,0
38,Car,CNG,Mixed,Evening,Rain,33.22,41.8,1,0,518.44,800,1,219,101.48,3.0,29.9,3,3952,3.583,363.6,7.023,67.5,C,33.9,39.86,1
39,Bike,Petrol,Highway,Night,Clear,28.98,80.84,2,1,538.38,1000,1,80,93.6,9.2,3.7,11,2830,0.589,55.13,1.361,53.0,D,100.0,34.78,0
40,Bike,CNG,City,Afternoon,Hot,92.95,21.08,3,0,21.65,2500,0,338,92.75,4.6,12.6,10,1053,2.687,249.22,5.267,51.1,D,47.3,111.54,0
41,Car,CNG,City,Afternoon,Clear,91.28,34.63,5,1,525.58,100,0,12,103.12,7.8,19.7,0,1294,30.0,3093.6,58.8,49.2,D,56.2,109.54,0
42,Bike,Petrol,Mixed,Morning,Rain,51.8,30.72,5,0,259.95,2000,1,44,91.52,2.5,25.2,8,1320,2.533,231.82,5.851,53.0,D,31.3,62.16,0
43,Car,Petrol,City,Afternoon,Clear,26.59,33.76,5,0,486.81,150,0,289,102.82,7.2,8.6,0,2406,9.507,977.51,21.961,51.1,D,51.4,31.91,0
44,SUV,Diesel,Mixed,Night,Rain,11.13,39.37,3,0,66.7,800,1,238,112.73,0.7,14.4,10,3163,3.087,348.0,8.273,61.4,C,46.2,13.36,0
45,Car,Petrol,City,Afternoon,Rain,16.5,29.26,3,0,103.31,1500,0,181,109.37,10.2,22.7,9,2176,6.712,734.09,15.505,57.8,C,89.9,19.8,0
46,Bike,Petrol,Highway,Night,Clear,52.7,90.0,4,0,587.27,800,0,32,113.42,7.3,40.5,4,2807,2.538,287.86,5.863,43.5,D,76.0,63.24,0
47,Car,Diesel,Mixed,Morning,Clear,31.48,44.55,1,0,249.71,2000,1,110,94.7,3.0,17.5,1,1471,1.885,178.51,5.052,83.0,B,18.7,37.78,0
48,Bike,Petrol,City,Afternoon,Clear,5.16,17.93,3,1,479.07,150,1,399,113.71,4.3,13.3,5,2513,0.1,11.37,0.231,48.7,D,36.8,6.19,0
49,Bike,CNG,Highway,Night,Clear,46.06,48.69,4,1,450.15,2000,0,42,100.83,2.2,38.4,7,1402,0.1,10.08,0.196,32.0,F,49.1,55.27,0
50,Car,Petrol,Mixed,Evening,Rain,74.87,24.05,2,0,471.63,1000,0,93,105.03,8.2,10.4,1,3636,13.486,1416.43,31.153,69.4,C,63.7,89.84,0
51,SUV,Petrol,Mixed,Night,Clear,89.28,26.8,1,1,458.77,2500,0,386,95.94,4.8,27.2,6,821,30.0,2878.2,69.3,44.8,D,64.7,107.14,0
52,Truck,Petrol,Highway,Night,Clear,58.94,32.8,5,0,548.38,800,0,346,114.84,11.5,18.6,14,1119,19.283,2214.46,44.544,20.4,F,100.0,70.73,0
53,SUV,CNG,Highway,Morning,Clear,72.61,18.85,1,0,355.55,150,0,314,99.82,10.8,40.8,14,1289,24.183,2413.95,47.399,38.7,F,97.8,87.13,0
54,Auto,Diesel,Mixed,Night,Rain,37.04,70.74,2,1,255.27,2000,0,127,93.06,9.9,30.9,3,950,3.022,281.23,8.099,52.0,D,96.7,44.45,0
55,Bike,Diesel,Mixed,Morning,Rain,50.13,76.9,3,0,555.14,2500,1,117,103.5,3.5,39.9,9,1373,1.637,169.43,4.387,45.7,D,47.4,60.16,0
56,SUV,Petrol,Mixed,Night,Clear,73.23,42.3,3,1,214.17,2500,1,254,94.9,3.9,29.7,3,1078,24.745,2348.3,57.161,48.8,D,50.6,87.88,0
57,Car,Petrol,City,Night,Rain,73.04,67.94,4,1,378.42,1000,0,159,99.77,5.2,25.3,5,3364,26.249,2618.86,60.635,37.0,F,65.9,87.65,1
58,Car,Petrol,Mixed,Night,Fog,43.03,41.84,3,1,513.13,1200,1,45,93.62,11.1,18.8,10,926,14.2,1329.4,32.802,48.2,D,100.0,51.64,0
59,Car,Petrol,City,Morning,Clear,54.82,22.27,3,0,549.61,1000,0,254,98.44,5.9,27.6,14,3487,18.441,1815.33,42.599,33.9,F,71.5,65.78,0
60,Car,Diesel,City,Night,Rain,92.46,42.55,1,0,569.66,800,0,375,90.5,1.6,35.4,7,1900,30.0,2715.0,80.4,44.4,D,41.8,110.95,0
61,Car,Diesel,City,Morning,Clear,63.57,56.46,2,1,395.96,2500,0,121,95.69,3.2,19.4,6,2535,14.977,1433.15,40.138,55.6,C,30.7,76.28,0
62,Car,Petrol,City,Evening,Clear,64.61,11.57,5,0,432.12,1000,0,385,94.72,1.0,28.7,5,2916,22.911,2170.13,52.924,33.7,F,19.1,77.53,0
63,Auto,CNG,City,Morning,Clear,78.68,64.94,5,1,298.51,1500,1,198,113.59,1.2,20.0,4,3262,6.247,709.6,12.244,43.9,D,18.0,94.42,0
64,Car,Petrol,City,Evening,Clear,12.41,72.61,4,1,170.94,800,1,361,104.0,11.1,4.3,5,1835,3.431,356.82,7.926,55.4,C,84.8,14.89,0
65,Car,CNG,City,Morning,Fog,52.77,82.82,2,0,9.71,1000,0,201,88.72,7.6,25.3,6,1356,8.222,729.46,16.115,64.9,C,67.1,63.32,0
66,Bike,Petrol,Highway,Morning,Clear,95.98,16.94,1,0,133.22,1200,1,0,112.67,1.7,2.9,8,3741,1.815,204.5,4.193,86.1,A,27.5,115.18,0
67,Car,Petrol,City,Night,Clear,36.8,8.01,5,1,587.98,2500,0,79,105.4,7.2,26.9,1,2835,12.549,1322.66,28.988,42.3,D,69.7,44.16,0
68,Auto,Petrol,City,Afternoon,Clear,30.2,14.37,4,1,483.83,1000,0,104,97.1,11.7,37.8,1,2935,1.415,137.4,3.269,40.0,D,81.4,36.24,0
69,Car,Petrol,City,Afternoon,Rain,60.52,88.4,3,0,287.42,1200,1,155,97.89,0.7,7.0,11,1210,9.627,942.39,22.238,61.4,C,26.0,72.62,0
70,SUV,Diesel,City,Night,Rain,22.89,74.6,3,1,206.15,800,0,367,88.85,9.1,26.8,14,2675,7.445,661.49,19.953,26.4,F,100.0,27.47,0
71,Truck,Petrol,City,Evening,Clear,56.04,80.68,1,0,38.61,2000,0,188,114.31,2.5,2.7,8,3459,19.762,2258.99,45.65,74.4,B,34.1,67.25,0
72,Car,Petrol,Highway,Night,Fog,16.41,52.98,5,1,6.08,1000,0,339,111.23,4.8,12.2,13,1720,5.316,591.3,12.28,27.8,F,77.1,19.69,0
73,Car,Diesel,Mixed,Afternoon,Hot,58.4,53.82,3,1,453.04,150,1,78,89.77,1.8,5.7,5,3330,11.203,1005.69,30.024,61.1,C,20.2,70.08,0
74,Auto,Diesel,Mixed,Morning,Clear,60.64,33.97,4,1,591.34,2500,0,126,106.4,0.6,1.1,8,1590,7.381,785.34,19.781,43.8,D,22.1,72.77,0
75,Truck,Diesel,Mixed,Night,Fog,42.42,81.32,4,1,152.3,2000,1,93,100.13,1.7,38.0,9,3581,13.96,1397.81,37.413,42.4,D,49.7,50.9,0
76,Truck,Petrol,City,Evening,Clear,38.89,80.19,5,1,164.72,1500,1,267,109.82,7.1,18.4,14,1504,13.541,1487.07,31.28,32.3,F,77.6,46.67,0
77,Truck,Diesel,City,Night,Clear,25.3,42.12,1,1,560.8,1200,0,126,104.83,10.9,6.8,7,2495,9.713,1018.21,26.031,51.3,D,100.0,30.36,0
78,Car,Diesel,City,Afternoon,Clear,33.76,36.65,4,1,361.24,2500,1,129,99.15,0.7,28.6,10,1722,10.729,1063.78,28.754,40.1,D,21.3,40.51,0
79,Car,Petrol,Mixed,Morning,Clear,50.34,72.24,2,0,104.29,100,0,201,99.78,1.2,40.6,7,1971,8.239,822.09,19.032,50.5,D,22.7,60.41,0
80,Car,Petrol,City,Afternoon,Hot,25.52,10.28,4,1,27.41,1200,0,90,105.59,2.4,22.6,4,1035,7.839,827.72,18.108,55.7,C,31.0,30.62,0
81,Auto,Petrol,Highway,Afternoon,Clear,78.5,82.82,1,0,338.15,1000,1,375,105.68,11.7,37.3,13,3771,5.682,600.47,13.125,48.0,D,100.0,94.2,0
82,Bike,Petrol,City,Afternoon,Rain,71.19,46.82,4,1,271.53,1200,1,20,103.06,2.5,37.9,8,1109,2.806,289.19,6.482,41.9,D,33.2,85.43,0
83,Car,Petrol,City,Afternoon,Clear,27.66,46.4,3,1,259.26,1000,1,54,111.87,5.9,33.8,10,3050,6.051,676.93,13.978,45.4,D,63.1,33.19,0
84,Car,Petrol,Mixed,Morning,Rain,10.65,66.21,1,1,581.56,800,1,399,109.04,1.0,12.4,1,1056,0.456,49.72,1.053,62.8,C,9.0,12.78,1
85,Car,Diesel,Mixed,Afternoon,Clear,1.02,64.18,3,1,157.73,800,0,36,91.2,10.3,21.1,8,2820,0.1,9.12,0.268,55.1,C,85.5,1.22,0
86,Car,Diesel,Mixed,Evening,Fog,60.08,31.14,3,0,292.79,1500,1,85,111.54,11.4,6.5,8,1512,10.071,1123.32,26.99,68.0,C,94.4,72.1,0
87,Truck,CNG,Highway,Evening,Clear,21.93,90.07,5,0,128.01,150,0,294,93.45,9.2,41.4,2,1772,6.351,593.5,12.448,40.8,D,66.8,26.32,0
88,Bike,Diesel,Mixed,Afternoon,Hot,2.25,93.81,1,1,193.07,100,1,168,113.66,7.0,29.6,8,3989,0.1,11.37,0.268,54.3,D,67.5,2.7,0
89,Auto,Petrol,Highway,Evening,Fog,36.55,53.76,3,0,459.54,1500,0,277,109.8,3.4,0.3,10,1933,3.556,390.45,8.214,51.6,D,41.9,43.86,0
90,Bike,CNG,Mixed,Afternoon,Rain,96.24,56.84,5,0,118.38,800,0,48,112.55,2.6,36.0,5,2444,2.403,270.46,4.71,47.3,D,24.7,115.49,0
91,Car,CNG,City,Morning,Clear,69.3,56.23,5,0,405.89,150,0,144,106.27,6.4,0.7,10,1331,23.173,2462.59,45.419,47.2,D,68.2,83.16,0
92,Truck,Petrol,Highway,Morning,Clear,85.92,50.26,3,1,77.79,100,1,100,105.59,3.8,27.6,13,3977,28.042,2960.95,64.777,49.2,D,55.2,103.1,0
93,Truck,Diesel,Highway,Evening,Hot,15.33,90.23,3,1,114.34,150,0,293,94.73,8.2,19.8,2,1430,6.804,644.54,18.235,52.5,D,62.3,18.4,1
94,Bike,CNG,City,Evening,Clear,8.26,29.29,2,0,13.86,800,1,296,104.91,3.5,9.4,9,1171,0.1,10.49,0.196,68.4,C,40.4,9.91,0
95,Truck,Petrol,Mixed,Afternoon,Clear,2.14,17.39,1,1,378.28,1500,1,124,99.35,2.5,33.9,1,2812,0.67,66.56,1.548,68.4,C,12.0,2.57,0
96,Bike,CNG,Mixed,Night,Clear,95.61,88.87,5,1,594.19,100,1,105,92.14,7.2,44.9,4,3314,3.207,295.49,6.286,31.5,F,85.1,114.73,0
97,Bike,Petrol,City,Afternoon,Clear,30.72,26.53,1,1,393.89,800,1,240,97.72,9.2,31.6,1,1026,0.1,9.77,0.231,60.1,C,73.4,36.86,0
98,Bike,Petrol,City,Afternoon,Clear,46.49,73.18,5,0,553.99,1000,1,322,105.88,1.3,36.3,10,2203,1.415,149.82,3.269,28.7,F,29.5,55.79,0
99,Car,Petrol,City,Morning,Rain,40.06,25.74,4,0,315.84,1500,1,115,111.64,7.6,41.1,7,3656,13.165,1469.74,30.411,47.4,D,67.7,48.07,0
100,Car,Diesel,Mixed,Night,Clear,73.32,91.54,4,0,408.17,100,0,72,99.83,9.9,19.9,7,1895,13.56,1353.69,36.341,50.2,D,100.0,87.98,0
101,Car,Diesel,Highway,Night,Clear,31.69,76.83,5,1,555.32,150,0,320,95.83,0.6,28.7,6,1268,10.598,1015.61,28.403,25.3,F,29.3,38.03,0
102,Bike,CNG,City,Afternoon,Clear,54.01,87.93,2,1,51.73,1000,0,13,92.35,3.1,23.9,8,1929,0.788,72.77,1.544,55.9,C,37.0,64.81,0
103,Car,Petrol,Highway,Morning,Clear,99.56,90.74,4,1,358.46,2500,0,113,98.88,3.9,14.2,12,1527,30.0,2966.4,69.3,37.8,F,45.1,119.47,1
104,Bike,Petrol,City,Evening,Rain,44.96,15.34,1,1,345.32,150,1,251,95.68,0.7,2.9,4,1938,2.203,210.78,5.089,67.7,C,15.3,53.95,0
105,SUV,Diesel,Mixed,Morning,Clear,55.58,45.7,3,1,19.89,800,0,229,100.07,8.3,38.6,0,2244,18.258,1827.08,48.931,52.1,D,59.1,66.7,0
106,Car,Diesel,City,Evening,Rain,50.75,64.38,1,1,93.72,2000,0,65,90.72,5.3,4.6,1,2856,5.57,505.31,14.928,79.4,B,36.6,60.9,0
107,Bike,Petrol,City,Morning,Clear,80.52,77.81,1,1,331.41,800,1,165,107.86,7.9,25.3,12,2965,1.979,213.45,4.571,51.3,D,81.7,96.62,0
108,Truck,Petrol,Mixed,Night,Clear,27.42,29.01,1,1,298.61,1000,1,42,88.12,5.2,1.4,8,902,9.497,836.88,21.938,68.1,C,75.9,32.9,0
109,Car,Diesel,City,Morning,Clear,17.87,87.57,5,0,206.3,1000,0,246,106.89,2.5,24.1,1,2270,2.878,307.63,7.713,53.9,D,19.5,21.44,0
110,Car,Diesel,City,Afternoon,Clear,75.66,27.22,5,0,418.63,100,1,376,96.28,6.4,2.6,10,1550,26.898,2589.74,72.087,45.1,D,64.1,90.79,1
111,Car,Petrol,City,Evening,Fog,42.15,83.36,1,1,216.14,150,1,253,97.7,8.8,31.9,14,873,11.695,1142.6,27.015,45.0,D,89.4,50.58,0
112,Car,Petrol,City,Morning,Clear,91.46,52.61,3,1,461.32,1200,1,219,92.62,2.3,26.7,11,2005,30.0,2778.6,69.3,40.1,D,43.5,109.75,0
113,SUV,CNG,City,Morning,Rain,64.77,52.84,2,1,485.54,800,0,393,114.14,4.6,32.3,2,1298,23.494,2681.61,46.048,40.3,D,36.4,77.72,1
114,Auto,Diesel,Mixed,Evening,Hot,56.87,40.54,2,1,386.75,1200,1,344,89.43,8.9,25.5,4,3322,2.334,208.73,6.255,48.5,D,72.0,68.24,1
115,Bike,Petrol,Mixed,Morning,Rain,7.98,17.0,4,1,167.39,1200,0,124,95.64,8.0,33.5,7,849,1.03,98.51,2.379,40.1,D,75.8,9.58,0
116,Auto,Petrol,Mixed,Evening,Clear,73.31,38.2,4,0,481.59,1000,1,21,91.97,12.0,16.5,9,1257,8.182,752.5,18.9,51.5,D,99.1,87.97,1
117,Auto,Diesel,Mixed,Night,Clear,68.92,45.13,3,0,151.07,2000,1,74,101.02,2.5,14.7,11,3088,3.738,377.61,10.018,64.1,C,50.7,82.7,0
118,Car,Petrol,City,Evening,Hot,64.37,49.67,1,0,181.81,150,0,63,103.12,4.5,22.2,6,2525,8.402,866.41,19.409,69.1,C,43.8,77.24,0
119,Auto,Petrol,City,Evening,Rain,27.52,72.3,5,1,365.28,1200,0,103,93.3,2.8,22.7,9,1067,3.831,357.43,8.85,28.6,F,39.7,33.02,0
120,Bike,Petrol,City,Night,Rain,94.73,38.63,4,1,413.43,150,0,44,105.69,3.3,15.3,12,1355,2.773,293.08,6.406,28.1,F,64.5,113.68,0
121,Auto,Petrol,Mixed,Morning,Clear,32.84,43.37,1,1,222.77,1000,1,201,102.92,2.8,22.3,11,3228,2.621,269.75,6.055,55.1,C,43.1,39.41,0
122,Auto,Diesel,Highway,Morning,Fog,16.07,86.83,2,1,354.83,2000,0,273,110.74,11.9,9.5,2,1873,2.621,290.25,7.024,58.4,C,91.2,19.28,1
123,Car,Petrol,City,Night,Rain,98.73,73.47,3,1,148.79,1500,0,68,112.48,7.9,29.3,12,3443,30.0,3374.4,69.3,44.9,D,94.0,118.48,1
124,Car,Diesel,City,Afternoon,Clear,74.88,9.99,5,0,476.89,1500,1,10,106.75,1.5,43.7,4,2098,25.428,2714.44,68.147,42.2,D,15.5,89.86,0
125,Car,Petrol,Highway,Evening,Rain,42.06,78.65,5,1,595.28,1500,1,372,105.02,6.5,27.2,0,3283,14.893,1564.06,34.403,38.1,F,46.6,50.47,0
126,Bike,Petrol,Highway,Morning,Clear,93.66,94.13,4,0,419.02,1500,0,282,104.35,1.5,21.4,8,3076,1.997,208.39,4.613,38.8,F,23.6,112.39,0
127,Auto,Petrol,Mixed,Morning,Clear,10.02,89.76,1,1,191.62,1200,0,268,92.51,5.0,40.7,11,2976,0.826,76.41,1.908,40.2,D,55.6,12.02,0
128,Auto,CNG,City,Evening,Fog,9.68,80.73,5,0,209.25,1200,0,110,111.85,7.9,29.6,14,2749,1.364,152.56,2.673,33.6,F,84.3,11.62,0
129,Car,CNG,Mixed,Evening,Clear,68.56,62.74,2,0,18.32,800,0,321,97.73,1.0,13.4,13,2485,12.911,1261.79,25.306,53.2,D,29.4,82.27,0
130,Bike,Petrol,City,Evening,Clear,18.62,32.2,2,1,388.17,2000,0,6,106.67,1.0,27.9,6,3535,1.848,197.13,4.269,47.9,D,13.3,22.34,0
131,Bike,Diesel,Highway,Afternoon,Clear,91.8,64.94,3,0,360.01,2000,1,95,99.9,3.4,33.6,2,3806,2.486,248.35,6.662,65.0,C,26.3,110.16,0
132,Car,Diesel,Mixed,Night,Clear,84.2,68.52,3,1,572.75,2500,0,14,112.38,8.1,34.7,2,3489,18.673,2098.47,50.044,49.0,D,81.5,101.04,0
133,Car,CNG,Mixed,Afternoon,Clear,31.33,32.5,2,0,241.28,1200,0,342,99.0,11.1,0.4,1,1731,3.727,368.97,7.305,73.2,B,82.0,37.6,0
134,Car,Petrol,City,Afternoon,Hot,89.0,30.21,2,0,559.75,2500,1,87,103.12,3.6,34.4,0,1214,12.482,1287.14,28.833,67.9,C,21.4,106.8,0
135,SUV,Diesel,City,Evening,Clear,5.25,42.53,1,1,456.15,100,0,301,93.06,11.5,36.0,3,2605,1.504,139.96,4.031,46.7,D,83.8,6.3,0
136,Car,Petrol,City,Night,Clear,55.32,63.78,5,0,172.8,1000,1,111,102.96,6.8,7.9,8,968,9.226,949.91,21.312,54.4,D,85.9,66.38,0
137,Bike,Petrol,City,Morning,Rain,93.62,33.5,1,0,9.86,100,0,307,93.47,6.3,38.3,4,1678,1.404,131.23,3.243,63.6,C,48.5,112.34,0
138,Truck,CNG,Highway,Evening,Clear,85.68,56.34,3,0,436.0,1500,0,23,109.45,1.7,32.0,6,2051,28.02,3066.79,54.919,52.8,D,21.0,102.82,0
139,Car,Petrol,Mixed,Night,Clear,36.25,86.23,3,0,297.81,1200,1,53,97.92,11.5,27.9,6,2920,5.291,518.09,12.222,62.3,C,100.0,43.5,0
140,SUV,Petrol,City,Morning,Clear,19.1,33.67,3,1,577.11,1200,1,180,99.46,9.6,34.6,10,1173,5.01,498.29,11.573,36.0,F,85.9,22.92,0
141,SUV,Petrol,City,Afternoon,Clear,21.84,92.04,5,1,13.26,100,1,55,105.29,0.5,11.4,13,1244,6.768,712.6,15.634,46.6,D,26.0,26.21,0
142,Car,Diesel,City,Night,Clear,51.94,49.18,4,0,313.14,2000,1,277,90.32,9.6,6.9,3,1755,7.732,698.35,20.722,60.8,C,93.6,62.33,0
143,Bike,Diesel,Mixed,Afternoon,Clear,60.08,16.78,3,1,473.29,800,0,233,96.5,6.9,3.1,6,3116,2.0,193.0,5.36,45.0,D,62.1,72.1,0
144,Car,Petrol,Mixed,Afternoon,Clear,4.25,12.79,3,1,473.86,2500,0,247,113.2,1.6,19.5,6,2467,2.086,236.14,4.819,40.8,D,24.6,5.1,0
145,Car,CNG,City,Night,Fog,41.94,37.46,1,1,403.24,800,1,197,111.28,8.6,22.8,13,2457,17.215,1915.69,33.741,52.1,D,100.0,50.33,1
146,Car,Petrol,City,Morning,Clear,83.21,30.51,1,1,236.62,100,0,259,94.24,8.2,4.7,6,1333,17.908,1687.65,41.367,58.9,C,67.0,99.85,0
147,Bike,Petrol,Mixed,Night,Hot,44.99,81.4,4,1,40.35,2500,1,161,101.85,8.3,17.9,10,3476,0.141,14.36,0.326,51.7,D,100.0,53.99,0
148,Bike,CNG,Highway,Morning,Rain,17.75,72.17,4,0,181.06,100,0,178,103.75,10.6,11.7,4,1814,0.995,103.23,1.95,60.7,C,85.3,21.3,0
149,Car,Petrol,City,Evening,Clear,95.53,84.96,4,1,390.69,1000,0,230,96.14,9.2,39.8,4,2270,30.0,2884.2,69.3,28.9,F,70.5,114.64,1
150,Car,Petrol,Mixed,Evening,Hot,27.36,59.27,4,0,462.64,2500,1,282,97.39,11.0,25.8,9,1748,8.716,848.85,20.134,43.3,D,95.0,32.83,0
151,SUV,Petrol,Mixed,Evening,Clear,80.04,45.88,1,0,490.43,2500,1,238,114.4,4.9,7.9,1,2183,17.156,1962.65,39.63,77.0,B,33.8,96.05,0
